Bengaluru,2019,Assault on women with intent to outrage her modesty,378,9.3
Bengaluru,2019,Insult to the modesty of women,73,1.8
Bengaluru,2019,Sexual harassment and molestation of women,451,0
Bhopal,2019,Assault on women with intent to outrage her modesty,307,34.2
Bhopal,2019,Insult to the modesty of women,42,4.7
Bhopal,2019,Sexual harassment and molestation of women,349,0
Chandigarh,2019,Assault on women with intent to outrage her modesty,136,29.4
Chandigarh,2019,Insult to the modesty of women,25,5.4
Chandigarh,2019,Sexual harassment and molestation of women,161,0
Chennai,2019,Assault on women with intent to outrage her modesty,55,1.3
Chennai,2019,Insult to the modesty of women,155,3.6
Chennai,2019,Sexual harassment and molestation of women,210,0
Coimbatore,2019,Assault on women with intent to outrage her modesty,15,1.4
Coimbatore,2019,Insult to the modesty of women,4,0.4
Coimbatore,2019,Sexual harassment and molestation of women,19,0
Delhi,2019,Assault on women with intent to outrage her modesty,3069,40.5
Delhi,2019,Insult to the modesty of women,807,10.7
Delhi,2019,Sexual harassment and molestation of women,3876,0
Dhanbad,2019,Assault on women with intent to outrage her modesty,9,1.6
Dhanbad,2019,Insult to the modesty of women,0,0
Dhanbad,2019,Sexual harassment and molestation of women,9,0
Durg-Bhilainagar,2019,Assault on women with intent to outrage her modesty,180,34.7
Durg-Bhilainagar,2019,Insult to the modesty of women,17,3.3
Durg-Bhilainagar,2019,Sexual harassment and molestation of women,197,0
Faridabad,2019,Assault on women with intent to outrage her modesty,90,13.8
Faridabad,2019,Insult to the modesty of women,56,8.6
Faridabad,2019,Sexual harassment and molestation of women,146,0
Ghaziabad,2019,Assault on women with intent to outrage her modesty,124,11.3
Ghaziabad,2019,Insult to the modesty of women,0,0
Ghaziabad,2019,Sexual harassment and molestation of women,124,0
Gwalior,2019,Assault on women with intent to outrage her modesty,262,51.1
Gwalior,2019,Insult to the modesty of women,45,8.8
Gwalior,2019,Sexual harassment and molestation of women,307,0
Hyderabad,2019,Assault on women with intent to outrage her modesty,225,6
Hyderabad,2019,Insult to the modesty of women,90,2.4
Hyderabad,2019,Sexual harassment and molestation of women,315,0
India,2019,Assault on women with intent to outrage her modesty,70739,11.9
India,2019,Insult to the modesty of women,12589,2.1
India,2019,Sexual harassment and molestation of women,83328,0
Indore,2019,Assault on women with intent to outrage her modesty,251,24.2
Indore,2019,Insult to the modesty of women,54,5.2
Indore,2019,Sexual harassment and molestation of women,305,0
Jabalpur,2019,Assault on women with intent to outrage her modesty,194,32.1
Jabalpur,2019,Insult to the modesty of women,21,3.5
